Series ID,Year,Period,Label,Value
CES0500000012,2018,M01,2018 Jan,369.49
CES0500000012,2018,M02,2018 Feb,369.85
CES0500000012,2018,M03,2018 Mar,371.30
CES0500000012,2018,M04,2018 Apr,371.16
CES0500000012,2018,M05,2018 May,371.15
CES0500000012,2018,M06,2018 Jun,372.58
CES0500000012,2018,M07,2018 Jul,372.04
CES0500000012,2018,M08,2018 Aug,372.88
CES0500000012,2018,M09,2018 Sep,372.67
CES0500000012,2018,M10,2018 Oct,373.43
CES0500000012,2018,M11,2018 Nov,373.70
CES0500000012,2018,M12,2018 Dec,376.16
CES0500000012,2019,M01,2019 Jan,376.65
CES0500000012,2019,M02,2019 Feb,376.15
CES0500000012,2019,M03,2019 Mar,377.16
CES0500000012,2019,M04,2019 Apr,374.18
CES0500000012,2019,M05,2019 May,375.41
CES0500000012,2019,M06,2019 Jun,376.68
CES0500000012,2019,M07,2019 Jul,376.98
CES0500000012,2019,M08,2019 Aug,377.91
CES0500000012,2019,M09,2019 Sep,377.78
CES0500000012,2019,M10,2019 Oct,376.54
CES0500000012,2019,M11,2019 Nov,377.19
CES0500000012,2019,M12,2019 Dec,376.27
CES0500000012,2020,M01,2020 Jan,376.45
CES0500000012,2020,M02,2020 Feb,378.83
CES0500000012,2020,M03,2020 Mar,380.47
CES0500000012,2020,M04,2020 Apr,400.77
CES0500000012,2020,M05,2020 May,403.05
CES0500000012,2020,M06,2020 Jun,395.43
CES0500000012,2020,M07,2020 Jul,393.72
CES0500000012,2020,M08,2020 Aug,394.34
CES0500000012,2020,M09,2020 Sep,395.07
CES0500000012,2020,M10,2020 Oct,394.95
CES0500000012,2020,M11,2020 Nov,395.48
CES0500000012,2020,M12,2020 Dec,397.36
CES0500000012,2021,M01,2021 Jan,398.71
CES0500000012,2021,M02,2021 Feb,394.38
CES0500000012,2021,M03,2021 Mar,395.88
CES0500000012,2021,M04,2021 Apr,395.24
CES0500000012,2021,M05,2021 May,394.97
CES0500000012,2021,M06,2021 Jun,392.68
CES0500000012,2021,M07,2021 Jul,392.61
CES0500000012,2021,M08,2021 Aug,391.42
CES0500000012,2021,M09,2021 Sep,393.18
CES0500000012,2021,M10,2021 Oct,390.77
CES0500000012,2021,M11,2021 Nov,390.06
CES0500000012,2021,M12,2021 Dec,389.27
CES0500000012,2022,M01,2022 Jan,387.26
CES0500000012,2022,M02,2022 Feb,385.64
CES0500000012,2022,M03,2022 Mar,384.21
CES0500000012,2022,M04,2022 Apr,382.91
CES0500000012,2022,M05,2022 May,380.85
CES0500000012,2022,M06,2022 Jun,377.78
CES0500000012,2022,M07,2022 Jul,379.67
CES0500000012,2022,M08,2022 Aug,378.86
CES0500000012,2022,M09,2022 Sep,379.56
CES0500000012,2022,M10,2022 Oct,379.22
CES0500000012,2022,M11,2022 Nov,378.97
CES0500000012,2022,M12,2022 Dec,378.76
